model_id,language,samples,runs,wer_raw,wer_sem,cer_raw,cer_sem,wer_delta
elevenlabs-scribe-v1-experimental,en,8,8,0.0,0.0,1.39,0.0,0.0
mlx-whisper-large-v3,en,8,8,1.25,1.22,1.61,0.28,0.03
parakeet-tdt-0.6b-v3-mlx,en,8,8,1.25,1.22,1.11,0.28,0.03
parakeet-tdt-0.6b-v3,en,8,8,1.25,1.22,1.42,0.28,0.03
groq-whisper-large-v3-turbo,en,8,8,4.91,2.47,1.64,0.99,2.44
mlx-whisper-small,en,8,8,4.03,2.47,1.67,0.5,1.56
mlx-whisper-large-v3-turbo,en,8,8,4.91,2.47,1.64,0.99,2.44
mlx-whisper-medium,en,8,8,4.03,2.47,1.86,0.5,1.56
transformers-moonshine-base,en,8,8,5.56,5.28,2.03,1.19,0.28
sensevoice-small,en,8,8,7.83,5.42,4.42,1.61,2.41
elevenlabs-scribe-v1,en,8,8,7.08,5.77,10.59,6.3,1.31
deepgram-nova-3-multi,en,8,24,17.91,12.35,9.66,6.24,5.56
fish-audio-asr,en,8,24,14.96,13.12,7.92,6.22,1.84
deepgram-nova-2,en,8,24,18.51,16.07,9.14,7.71,2.44
deepgram-nova-3,en,8,24,20.87,17.88,9.32,6.69,2.99
gigaam-v2-ctc,en,8,8,100.0,100.0,95.9,95.52,0.0
gigaam-v2-rnnt,en,8,8,100.0,100.0,100.0,100.0,0.0
t-one,en,8,8,100.0,100.0,90.89,90.34,0.0
elevenlabs-scribe-v1-experimental,ru,8,8,5.98,4.2,4.63,2.32,1.78
groq-whisper-large-v3-turbo,ru,8,8,10.71,5.8,7.39,3.96,4.91
mlx-whisper-medium,ru,8,8,9.11,6.07,7.65,5.53,3.04
mlx-whisper-large-v3-turbo,ru,8,8,10.55,8.66,8.38,6.16,1.89
elevenlabs-scribe-v1,ru,8,8,9.56,9.56,5.73,5.7,0.0
mlx-whisper-large-v3,ru,8,8,13.39,10.27,7.28,5.53,3.12
parakeet-tdt-0.6b-v3,ru,8,8,12.91,12.02,6.57,4.15,0.89
mlx-whisper-small,ru,8,8,12.86,12.86,11.15,7.85,0.0
parakeet-tdt-0.6b-v3-mlx,ru,8,8,14.84,12.91,10.66,9.59,1.93
gigaam-v2-rnnt,ru,8,8,12.91,12.91,16.14,13.06,0.0
gigaam-v2-ctc,ru,8,8,16.52,16.52,17.14,14.4,0.0
deepgram-nova-2,ru,8,24,18.57,17.14,14.92,10.39,1.43
fish-audio-asr,ru,8,24,22.86,20.0,14.28,14.07,2.86
deepgram-nova-3-multi,ru,8,24,21.54,20.36,14.09,12.08,1.18
deepgram-nova-3,ru,8,24,23.96,21.32,14.89,14.47,2.64
t-one,ru,8,8,28.46,24.62,19.83,16.49,3.84
sensevoice-small,ru,8,8,100.0,100.0,99.41,100.0,0.0
transformers-moonshine-base,ru,8,8,297.14,329.79,205.88,210.28,-32.65
